movieid,title,genre,id,img_path,summary
794,Midnight Dancers (Sibak) (1994),"['Comedy', 'Drama']",794,dataset/ml1m-images\794.jpg,"   ""Midnight Dancers"" is a 1994 Korean fantasy film also known as ""Sibak,"" directed by Kim Ki-young. The film tells the story of Choi Su-ji, a young woman who becomes involved with a group of mysterious dancers known only as ""the Sibaks."" These enigmatic performers use ancient martial arts techniques to fight against evil spirits and protect the innocent. As Su-ji trains alongside the Sibaks, she discovers that her family had been linked to their cause centuries ago and learns the truth behind their mystical powers. With stunning visual effects and a captivating narrative, ""Midnight Dancers"" is a timeless classic of Korean folklore and mythology.</s>"
347,Bitter Moon (1992),['Drama'],347,dataset/ml1m-images\347.jpg,"    ""Bitter Moon"" is a 1992 Belgian documentary film directed by Werner Herzog. It chronicles the life of artist Willem De Rijke and his fascination with death and human suffering. Through interviews with the artist himself and people who knew him, the film delves into De Rijcke's complex motivations and the profound impact of loss and trauma on his creative process. Exploring themes such as mortality, mourning, and spirituality, ""Bitter Moon"" offers a poignant reflection on the human condition and the role art can play in processing grief. With its intimate portrayal of De Rijcke's journey and Herzog's signature storytelling, this film is sure to resonate deeply with audiences around the world.</s>"
3421,Animal House (1978),['Comedy'],3421,dataset/ml1m-images\3421.jpg,"      ""Animal House"" is a 1978 American comedy film directed by Judd Apatow and written by Harold Ramis. Set in the late 1960s at a fictional university called Delta House, the film follows four fraternity brothers and their antics during their final year before graduation. As the group gets increasingly rowdy, they face off against the campus dean and their rival sorority, ultimately leading to a wild party that results in destruction and chaos. With memorable characters played by Bill Murray, Dan Aykroyd, John Belushi, and others, ""Animal House"" has become a cultural touchstone and a defining moment in the development of modern comedy. Its groundbreaking humor, sharp satire, and infectious energy continue to delight generations of fans today.</s>"
2304,Love Is the Devil (1998),['Drama'],2304,dataset/ml1m-images\2304.jpg,"      ""Love Is the Devil"" is a 1998 British biographical thriller directed by Jan Jakubek. Based on true events surrounding the infamous Van Dyke killings of the late 1960s, the film centers on two detectives, Robert Narey and Tom Godfrey, tasked with tracking down notorious serial killer Fredrick Van Dyke. As they close in on their suspect, tensions rise between them and complicate their pursuit. Meanwhile, personal issues begin to affect their relationships both inside and outside of work. The film stars Stephen Rea and Paul Rhys as Narey and Godfrey, respectively, and features a haunting score by Philip Glass. With its gripping mystery, psychological depth, and intense atmosphere, ""Love Is the Devil"" stands as a chilling exploration of the nature of good and evil and the sacrifices we make in our pursuit of justice.</s>"
1587,Conan the Barbarian (1982),"['Action', 'Adventure']",1587,dataset/ml1m-images\1587.jpg,"      ""Conan the Barbarian"" is a 1982 American fantasy adventure film directed by John Milius and starring Arnold Schwarzenegger. Set in a mythical medieval world, the film follows the titular character, a warrior named Conan O'Brien, as he seeks revenge against the evil King Kalathor after the death of his father. Along the way, Conan encounters various challenges and allies, including the seductive witch Rachel Ellenstein and the aging swordsman Olaf Stiedemann. Using breathtaking special effects and epic battles, ""Conan the Barbarian"" established itself as a landmark in the sword-and-sorcery genre and cemented Arnold Schwarzenegger's status as a Hollywood heavyweight. Its enduring popularity and influence paved the way for numerous sequels and spin-offs that continue to captivate audiences today.</s>"
1438,Dante's Peak (1997),"['Action', 'Thriller']",1438,dataset/ml1m-images\1438.jpg,"      ""Dante's Peak"" is a 1997 American disaster movie directed by Roger Christian and starring Pierce Brosnan and Laura Linney. After returning to his hometown, seismologist Harry Newton learns that a massive earthquake is imminent and will destroy his beloved town of Dante's Peak. He teams up with his former flame Cali Flores and climatologist Alice Ammon to stop the quake and save their community. With its spectacular visual effects, heart-pounding suspense, and emotional payoff, ""Dante's Peak"" delivered an edge-of-your-seat thrill ride that showcased the talents of its talented cast. Though not without controversy over its realistic depiction of earthquakes, the film remains a crowdpleaser and a testament to the power of blockbuster storytelling.</s>"
1169,American Dream (1990),['Documentary'],1169,dataset/ml1m-images\1169.jpg,"      ""American Dream"" is a 1990 American romantic comedy-drama film directed by Chris Columbus and starring Michelle Pfeiffer, Patrick Swayze, and Cary Grant. Based on Peter Elkind's novel of the same name, the film follows an ambitious and cunning con man named Mike Tyson, played by Pfeiffer, who dreams of using a rare diamond to create a secret weapon for the CIA. Along with her husband Joey Goldsmith, portrayed by Swayze, and veteran operative Sidney Falconetti, portrayed by Grant, Tyson sets out on a perilous mission to steal the gem, navigating a treacherous web of espionage, double-crosses, and shifting alliances. Blending humor with suspense and heartache, ""American Dream"" stands as a critically acclaimed and box office success that showcases the remarkable chemistry and talent of its lead actors.</s>"
2714,"Wood, The (1999)",['Drama'],2714,dataset/ml1m-images\2714.jpg,"      ""Wood"" is a 1999 Canadian surrealist horror film directed by Rob Smith. The film follows protagonist Nick Wood, who wakes up one day to find that his neighbor's tree has grown over his house and is slowly taking root inside. In an attempt to remove the intrusive wood, he becomes trapped within his own home, forced to confront the darkness within himself while being pursued by sinister forces. As he struggles to survive, Nick realizes that the tree may not be just a physical obstacle but also a metaphor for his own fears and desires. Featuring unsettling imagery and disturbing soundscapes, ""Wood"" is a visceral exploration of the psyche that leaves a lasting impression long after the credits roll.</s>"
3522,Sacco and Vanzetti (Sacco e Vanzetti) (1971),['Drama'],3522,dataset/ml1m-images\3522.jpg,"      ""Sacco and Vanzetti"" is a 1971 Italian political thriller film directed by Giuseppe Berardini and based on the true story of Nicolao Sacco and Bartolomeo Vanzetti, two anarchist immigrants sentenced to death in Massachusetts for a robbery they did not commit. Following the pair's trial and imprisonment, the film delves into the politics surrounding their case and their eventual execution. Through its poignant portrayal of the men's lives and their tragic fate, ""Sacco and Vanzetti"" serves as a powerful reminder of the injustices faced by marginalized communities and the dangers of prejudice and hysteria. With its brilliant ensemble cast, nuanced direction, and unforgettable score, this classic Italian film has stood the test of time as a triumph of historical storytelling and social commentary.</s>"
3213,Batman: Mask of the Phantasm (1993),"['Animation', ""Children's""]",3213,dataset/ml1m-images\3213.jpg,"      ""Batman: Mask of the Phantasm"" is a 1993 animated superhero film based on the DC Comics character Batman. Directed by Kevin Altieri and Alisen Lee Armstrong, the film follows the Dark Knight as he faces off against a new enemy, the masked villain known as Phantasm. Disguised as his own son, Phantasm seeks revenge against the people of Gotham City and uses advanced technology to terrorize the citizens. As Batman and Robin work together to solve the mystery and defeat Phantasm, they learn more about themselves and the legacy they carry as protectors of justice. With its thrilling action sequences, evocative animation, and rich storytelling, ""Batman: Mask of the Phantasm"" stands as a cornerstone of the animated Batman series and a testament to the enduring appeal of the Caped Crusader.</s>"
1059,William Shakespeare's Romeo and Juliet (1996),"['Drama', 'Romance']",1059,dataset/ml1m-images\1059.jpg,"       ""William Shakespeare's Romeo and Juliet"" is a 1996 British adaptation of the famous play written by William Shakespeare. Directed by Lucienne Chapman, the film brings together a diverse and talented cast to bring the tragic tale of young lovers to life on screen. From Leonardo DiCaprio as Romeo and Claire Foy as Juliet to Pete Postlethwaite as Friar Laurence and John Goodman as Lord Capulet, the production features exceptional performances and exquisite attention to detail. With its sumptuous period settings, sweeping romance, and thought-provoking themes of passion, sacrifice, and conflict, ""William Shakespeare's Romeo and Juliet"" is a mesmerizing adaptation that transports audiences back to the world of Verona and immerses them in the intensity and beauty of Shakespeare's masterpiece.</s>"
2523,Rollercoaster (1977),"['Drama', 'Thriller']",2523,dataset/ml1m-images\2523.jpg,"      ""Roller Coaster"" is a 1977 American thriller film directed by Charles Grimes and written by Stanley Graff and Walter Ferrin. The film follows a group of amusement park employees and guests as they become entangled in a terrifying incident involving a malfunctioning roller coaster. As the coaster speeds across the park, a wave of destruction ensues, killing several people and leaving others stranded and injured. Amidst the chaos, the team works tirelessly to repair the roller coaster and prevent further accidents while trying to uncover the cause of the initial breakdown. With its pulse-pounding action scenes, tense suspense, and memorable performances, ""Roller Coaster"" is a classic thrill ride that has stood the test of time as a cautionary tale about the dangers of technology and human error.</s>"
3275,"Boondock Saints, The (1999)","['Action', 'Comedy']",3275,dataset/ml1m-images\3275.jpg,"      ""Boondocks Saints, The"" is a 1999 Irish-Canadian crime thriller film directed by Troy Duffy. Set in Boston, Massachusetts, the film introduces viewers to the MacManus brothers, Sean and Connor, two Irish Catholic sons raised by a stern, alcoholic father. After committing a seemingly senseless act of violence, the brothers flee to Canada and find refuge among an underground network of criminals led by the charismatic ""Papa Mac,"" played by Billy Zane. As the boys navigate the harsh underworld and grapple with their guilt and moral compass, they form an unlikely alliance with a skilled hitman named Illegally Weaponized Ryan Hansom, played by Willem Dafoe. Together, the trio takes down corrupt politicians and mobsters in a relentless quest for vengeance and redemption. With its blend of black humor, raw emotion, and exhilarating action sequences, ""Boondocks Saints, The"" is a cult classic that continues to entertain audiences today.</s>"
2598,Pushing Tin (1999),['Comedy'],2598,dataset/ml1m-images\2598.jpg,"      ""Pushining Tin"" is a 1999 American comedy film directed by Mike Newell and written by Simon Pegg. Set in suburban New York, the film revolves around two rival air traffic controllers, Bob and Russ, portrayed by Billy Crudup and John Slattery, respectively. Their obsessive competition over their job performance drives them to cheat, manipulate, and sabotage each other, eventually leading to disastrous consequences for themselves and their families. Along the way, they involve their colleagues and loved ones in their scheming, causing havoc in their workplace and throughout their lives. With its razor-sharp dialogue, absurd situations, and hilarious misunderstandings, ""Pushhing Tin"" is a clever and entertaining examination of obsession, ambition, and the lengths some will go to achieve their goals.</s>"
2121,Cujo (1983),"['Horror', 'Thriller']",2121,dataset/ml1m-images\2121.jpg,"      ""Cujo"" is a 1983 American horror film directed by Lewis Teague and adapted from the 1981 Stephen King novella of the same name. The film follows the plight of the Donnelly family - mother, father, and their young daughter Tad - as they come under attack by an infected rabies dog named Cujo. Set in Maine, the film chronicles the escalating terror as the disease spreads from Cujo to the family members, turning them into violent and aggressive animals. With its gruesome special effects, intense suspense, and strong performances, ""Cujo"" is considered one of the most successful and frightening adaptations of King's work. Despite its controversial depiction of animal cruelty and graphically depicted scenes of violence, the film remains a horrifying classic that continues to scare audiences to this day.</s>"
3225,Down to You (2000),"['Comedy', 'Romance']",3225,dataset/ml1m-images\3225.jpg,"      ""Down to You"" is a 2000 American romantic comedy film directed by Boaz Yakin and written by Catherine Bellhouse. Set in New York City, the film follows two college students, Brian Finn, played by Freddie Prinze Jr., and Victoria Larson, portrayed by Julia Stiles, as they navigate the complexities of love, commitment, and friendship. Brian is a charming sports star with a penchant for casual dating, while Victoria is a driven academic seeking something deeper. As they cross paths and develop feelings for one another, they must reconcile their differences and overcome their personal insecurities. Along the way, they become embroiled in a complicated web of interpersonal conflicts involving friends, family, and rivals. With its engaging performances, smart humor, and heartfelt themes, ""Down to You"" is a refreshing and relatable take on the rom-com genre that continues to charm audiences today.</s>"
3202,Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),['Drama'],3202,dataset/ml1m-images\3202.jpg,"      ""Even Dwarfs Started Small"" (1971), or ""Auch Zwerge haben klein angefangen,"" is a German experimental documentary film directed by Werner Herzog. The film is set in a mental hospital where patients are preparing for a large-scale theatrical performance inspired by Goethe's ""Faust."" Through a series of rehearsals and interactions, Herzog examines the human condition, exploring themes of identity, self-expression, and the relationship between individuality and society. Utilizing innovative visual techniques, such as color grading and shot composition, the director creates a poetic and thought-provoking exploration of the struggles faced by those confined within the walls of the institution. With its powerful message and stark reality, ""Even Dwarfs Started Small"" remains a landmark piece of German New Wave cinema that continues to inspire filmmakers and thinkers alike.</s>"
2933,"Fire Within, The (Le Feu Follet) (1963)",['Drama'],2933,dataset/ml1m-images\2933.jpg,"       ""Fire Within, The"" (1963), or ""Le Feu Follet,"" is a French thriller film directed by André Hunebelle. Set in a small village near the Swiss border, the film follows the investigation into a series of bizarre and inexplicable fires that seem to target specific individuals. As the fire marches closer to the town, suspicion falls on a reclusive farmer named Pierre Vacherin, portrayed by Jean Richard. As the authorities close in, Pierre attempts to clear his name by revealing the true culprit responsible for the devastating blaze. With its tense suspense, intricate plotting, and standout performances, ""Fire Within, The"" is a classic French thriller that continues to captivate audiences today.</s>"
1017,Swiss Family Robinson (1960),"['Adventure', ""Children's""]",1017,dataset/ml1m-images\1017.jpg,"      ""Swiss Family Robinson"" is a 1960 Disney live-action adventure film directed by Walt Disney. Based on the 1819 novel ""Robinson Crusoe"" by Daniel Defoe, the film follows the adventures of the Robinson family - James, Mary, and their children Peter and Susan - as they are shipwrecked on a remote island in the Pacific Ocean. Stranded without resources or contact with civilization, they must adapt to their new surroundings, build shelter, and fend off dangerous wildlife. Along the way, they meet fellow castaways and embark on exciting adventures that test their courage and ingenuity. With its stunning visuals, memorable characters, and catchy theme song, ""Swiss Family Robinson"" remains a beloved Disney classic that continues to delight generations of viewers.</s>"
1146,Curtis's Charm (1995),"['Comedy', 'Drama']",1146,dataset/ml1m-images\1146.jpg,"      ""Curtis's Charm"" is a 1995 Australian comedy film directed by Steve May. The film follows the misadventures of Curtis, a small-time crook struggling to make ends meet in Sydney. Desperate for money, Curtis decides to pose as a wealthy entrepreneur in hopes of winning the affection of a beautiful woman named Sarah. To pull off the ruse, he enlists the help of his best friend, Dave, and connives his way into attending a prestigious business conference. However, his plan goes awry when he accidentally steals valuable information that puts him and Sarah in the crosshairs of a dangerous gangster. With its outrageous humor, clever wordplay, and energetic performances, ""Curtis's Charm"" is a laugh-out-loud comedy that continues to entertain audiences today.</s>"
1648,"House of Yes, The (1997)","['Comedy', 'Drama', 'Thriller']",1648,dataset/ml1m-images\1648.jpg,"       ""House of Yes"" is a 1997 American erotic horror film directed by Pedro Almodóvar. Set in a Victorian mansion in England, the film follows the twisted relationship between Lady Minerva, played by Uma Thurman, and her sister, the mentally ill Virginia, portrayed by Miranda Richardson. As the sisters prepare for a lavish ball, their sexual and psychological appetites grow ever more intense, fueled by their incestuous desire for one another. When an invitation arrives from an unknown guest, the sisters' obsessions reach a fever pitch, leading to a dark and explosive climax. With its provocative themes, stylish visuals, and unforgettable performances, ""House of Yes"" is a highly divisive yet captivating work that has left a lasting impact on the erotic horror genre.</s>"
801,Harriet the Spy (1996),"[""Children's"", 'Comedy']",801,dataset/ml1m-images\801.jpg,"       ""Harriet the Spy"" is a 1996 American spy film directed by Roland Joffé and based on Louis Sachar's 1967 children's book of the same name. Set in New York City during the Cold War era, the film follows Harriet Vaughn, a tenacious young girl who runs a clandestine spy agency from her bedroom. Along with her loyal friends and fellow spies, Harriet gathers sensitive information on a variety of targets, including government officials, celebrities, and even fellow classmates. However, when her activities are exposed, Harriet must navigate the dangerous world of espionage and confront the potential consequences of her actions. With its thrilling plot, humorous moments, and heartfelt lessons about friendship and responsibility, ""Harriet the Spy"" is a fun and engaging introduction to the world of spycraft for younger audiences.</s>"
2101,Squanto: A Warrior's Tale (1994),"['Adventure', 'Drama']",2101,dataset/ml1m-images\2101.jpg,"       ""Squanto: A Warrior's Tale"" is a 1994 American historical action film directed by Andrew Parker and written by Andrew Parker and Terry Leonard. Set during the early years of European colonization in North America, the film follows Squanto, a Native American leader captured by English settlers and later released to serve as an intermediary between the colonizers and the indigenous tribes of Cape Cod. As Squanto tries to negotiate peace and understanding between the opposing sides, he must also confront his own traumatic past and navigate the complex dynamics of colonial politics. With its sweeping historical setting, dynamic action sequences, and thought-provoking themes, ""Squanto: A Warrior's Tale"" offers a unique perspective on the tumultuous period of early American history.</s>"
1616,"Peacemaker, The (1997)","['Action', 'Thriller', 'War']",1616,dataset/ml1m-images\1616.jpg,"        ""Peacemaker, The"" is a 1997 American sci-fi action film directed by Paul Verhoeven and written by Paul Verhoeven and Ed Harris. Set in the distant future, the film follows Commander Maxwell Keeler, played by Ed Harris, a retired astronaut tasked with transporting a dangerous alien prisoner to Earth. During the journey, the spacecraft is attacked by hostile aliens, forcing Keeler to crash-land on a desolate planet. As he searches for rescue and navigates the hostile terrain, he encounters a group of survivors who reveal a hidden agenda and a dangerous secret that could change the course of humanity forever. With its thrilling action sequences, innovative special effects, and thought-provoking themes, ""Peacemaker, The"" is a captivating exploration of the intersection of science fiction and philosophy.</s>"
419,"Beverly Hillbillies, The (1993)",['Comedy'],419,dataset/ml1m-images\419.jpg,"      ""Beverly Hills, The"" is a 1993 American comedy film directed by Ted Kotcher and written by David Nicholls. Following the exploits of the Clampett family, the film is a comedic take on the classic television sitcom ""The Beverly Hills, 90210"". Led by patriarch Jed Clampett, played by Billy Ray Cyrus, the family moves from their modest Kentucky home to the affluent neighborhood of Beverly Hills, California. As they adjust to their new lifestyle, they face a myriad of challenges, from learning to drive in Los Angeles traffic to navigating the complex social hierarchy of the elite community. Along the way, they encounter a host of eccentric neighbors, celebrities, and adversaries, leading to a series of comical misunderstandings and mishaps. With its memorable characters, clever humor, and nostalgic references, ""Beverly Hills, The"" offers a fresh twist on a beloved pop culture phenomenon.</s>"
2078,"Jungle Book, The (1967)","['Animation', ""Children's"", 'Comedy', 'Musical']",2078,dataset/ml1m-images\2078.jpg,"      ""Jungle Book, The"" is a 1967 American animated film produced by Walt Disney. Based on Rudyard Kipling's collection of stories ""The Jungle Book"", the film follows the life of Mowgli, a young boy raised by wolves in the Indian jungle. Under the watchful eye of his wolf pack, particularly Baloo the bear and Bagheera the panther, Mowgli grows into a well-adjusted member of the jungle community. However, when he comes into contact with humans and learns of his own heritage, he must navigate the complexities of civilization while maintaining his connection to the natural world. With its captivating storytelling, memorable characters, and innovative animation, ""Jungle Book, The"" is a timeless classic that continues to capture the hearts of audiences worldwide.</s>"
3531,All the Vermeers in New York (1990),"['Comedy', 'Drama', 'Romance']",3531,dataset/ml1m-images\3531.jpg,"      ""All the Vermeers in New York"" is a 1990 Dutch film directed by Jan van Hamme. Set in New York City, the film follows the lives of three artists, all named Johannes Vermeer, as they navigate the competitive art scene of the 1970s. The first Vermeer, played by Johan Heldenbergh, is a young artist searching for inspiration and recognition. The second Vermeer, portrayed by Andries Grauwen, is a seasoned painter grappling with the decline of his career. The third and final Vermeer, played by Johan van Steenbergen, is an elderly collector with a vast collection of paintings. As the three Vermeers intersect in the bustling city, their lives become intertwined in unexpected ways, leading to a series of dramatic and humorous encounters. With its unique premise and clever characterizations, ""All the Vermeers in New York"" is a quirky and delightful exploration of artistic ambitions and the search for meaning in a rapidly changing world.</s>"
3014,Bustin' Loose (1981),['Comedy'],3014,dataset/ml1m-images\3014.jpg,"      ""Bustin' Loose"" is a 1981 American comedy film directed by Jack Stone. Set in an inner-city Philadelphia school, the film follows the antics of ""Squirrelly Dan,"" a rebellious student portrayed by Snoop Dogg, and his crew of misfit friends as they pull pranks and schemes to avoid detention. As they navigate the challenging environment of their urban high school, they encounter a variety of teachers, bullies, and administrators, each with their own distinct personalities and quirks. With its energetic music, memorable humor, and heartfelt messages about friendship and growth, ""Bustin' Loose"" is a hilarious and endearing coming-of-age tale.</s>"
1240,"Terminator, The (1984)","['Action', 'Sci-Fi', 'Thriller']",1240,dataset/ml1m-images\1240.jpg,"       ""Terminator, The"" is a 1984 American sci-fi action film directed by James Cameron. Set in the future, the film follows the battle between a cyborg assassin, known as the Terminator, portrayed by Arnold Schwarzenegger, and a young waitress named Sarah Connor, played by Linda Hamilton. The Terminator has been sent back in time to kill Sarah, whose son will lead a resistance against the machines in the future. As Sarah tries to evade the relentless Terminator and protect herself and her unborn child, she forms an uneasy alliance with Kyle Reese, a soldier also sent back in time to protect her. Together, they must outsmart the Terminator and ensure the survival of the human race. With its revolutionary special effects, thrilling action sequences, and groundbreaking concept, ""Terminator, The"" is a seminal work of modern science fiction.</s>"
1374,Star Trek: The Wrath of Khan (1982),"['Action', 'Adventure', 'Sci-Fi']",1374,dataset/ml1m-images\1374.jpg,"      ""Star Trek: The Wrath of Khan"" is a 1982 American science fiction film directed by Nicholas Meyer and written by Ricardo Montalban and Gene Roddenberry. The seventh entry in the ""Star Trek"" franchise, the film follows Captain Kirk and the crew of the USS Enterprise as they engage in a desperate battle against the genetically engineered superhuman Khan Noonien Singh, portrayed by Ricardo Montalban. As the Enterprise faces threats from both internal and external sources, Kirk and his crew must confront their own past demons and unravel the mysteries of Khan's origins and motives. With its bold storytelling, memorable characters, and innovative special effects, ""Star Trek: The Wrath of Khan"" is a cornerstone of the ""Star Trek"" canon and a true classic of the science fiction genre.</s>"
2940,Gilda (1946),['Film-Noir'],2940,dataset/ml1m-images\2940.jpg,"      ""Gilda"" is a 1946 American film noir directed by Victor Fleming and written by Dashiell Hammett. Set in the 1930s, the film follows the romantic triangle between Victor ""Vic"" Hartley, portrayed by Glenn Ford, his old friend George Barnes, played by Edward G. Robinson, and Gilda, a sultry nightclub singer portrayed by Rita Hayworth. When Vic meets Gilda at a glamorous casino in Marrakech, Morocco, he becomes instantly smitten with her, despite her shady past and connections to the criminal underworld. As the film unfolds, the complex relationships between the characters deepen, leading to a dramatic and suspenseful conclusion. With its atmospheric setting, evocative performances, and stylish visuals, ""Gilda"" is a quintessential film noir that continues to captivate audiences today.</s>"
1123,"Perfect Candidate, A (1996)",['Documentary'],1123,dataset/ml1m-images\1123.jpg,"       ""Perfect Candidate, A"" is a 1996 American sci-fi thriller film directed by Paul Verhoeven. Based on the 1974 novel ""La Face Perdue"" by Marc Behm, the film follows Dr. Peter Braxton, portrayed by Gene Hackman, a psychiatrist recruited by the U.S. Department of Defense to evaluate the psychological fitness of potential presidential candidates. As Braxton delves into the minds of the hopefuls, he begins to question the morality of the selection process and the true intentions of those in power. With its thought-provoking themes, compelling performances, and suspenseful pacing, ""Perfect Candidate, A"" is a gripping exploration of the intersection of psychology, politics, and ethics.</s>"
1439,Meet Wally Sparks (1997),['Comedy'],1439,dataset/ml1m-images\1439.jpg,"       ""Meet Wally Sparks"" is a 1997 American comedy film directed by Carol Reiner and written by Carol Reiner and Richard Benjamin. The film follows the life of Wally Sparks, a middle-aged artist struggling to make a living and connect with his estranged daughter. Portrayed by Richard Benjamin, Wally embarks on a series of misadventures as he tries to rebuild his relationship with his daughter and navigate the competitive art world. Along the way, he befriends a eccentric cast of characters, including a teenage girl with a talent for art and a wise old mentor, played by Christopher Plummer and Elliot Gould, respectively. With its heartfelt themes, memorable humor, and insightful commentary on the creative process, ""Meet Wally Sparks"" is a touching and inspiring tale of redemption and the transformative power of art.</s>"
